Station_ID,Station_Name,Date,river_discharge_m3s
SRB00001,Bezdan,2014-04-13,2830.39
SRB00001,Bezdan,2014-04-14,2943.42
SRB00001,Bezdan,2014-04-15,2943.42
SRB00001,Bezdan,2014-04-16,2856.59
SRB00001,Bezdan,2014-04-17,2740.57
SRB00001,Bezdan,2014-04-18,2665.86
SRB00001,Bezdan,2014-04-19,2653.61
SRB00001,Bezdan,2014-04-20,2653.61
SRB00001,Bezdan,2014-04-21,2605.15
SRB00001,Bezdan,2014-04-22,2545.83
SRB00001,Bezdan,2014-04-23,2539.97
SRB00001,Bezdan,2014-04-24,2587.21
SRB00001,Bezdan,2014-04-25,2641.41
SRB00001,Bezdan,2014-04-26,2659.72
SRB00001,Bezdan,2014-04-27,2684.34
SRB00001,Bezdan,2014-04-28,2727.98
SRB00001,Bezdan,2014-04-29,2791.54
SRB00001,Bezdan,2014-04-30,2856.59
SRB00001,Bezdan,2014-05-01,2923.15
SRB00001,Bezdan,2014-05-02,2984.38
SRB00001,Bezdan,2014-05-03,3053.92
SRB00001,Bezdan,2014-05-04,3132.29
SRB00001,Bezdan,2014-05-05,3175.87
SRB00001,Bezdan,2014-05-06,3205.27
SRB00001,Bezdan,2014-05-07,3295.1
SRB00001,Bezdan,2014-05-08,3340.95
SRB00001,Bezdan,2014-05-09,3234.94
SRB00001,Bezdan,2014-05-10,3068.02
SRB00001,Bezdan,2014-05-11,2977.52
SRB00001,Bezdan,2014-05-12,3018.95
SRB00001,Bezdan,2014-05-13,3139.51
SRB00001,Bezdan,2014-05-14,3317.94
SRB00001,Bezdan,2014-05-15,3604.79
SRB00001,Bezdan,2014-05-16,3889.45
SRB00001,Bezdan,2014-05-17,4063.43
SRB00001,Bezdan,2014-05-18,4334.11
SRB00001,Bezdan,2014-05-19,4999.34
SRB00001,Bezdan,2014-05-20,5661.39
SRB00001,Bezdan,2014-05-21,5806.64
SRB00001,Bezdan,2014-05-22,5635.38
SRB00001,Bezdan,2014-05-23,5320.08
SRB00001,Bezdan,2014-05-24,4908.08
SRB00001,Bezdan,2014-05-25,4496.8
SRB00001,Bezdan,2014-05-26,4158.11
SRB00001,Bezdan,2014-05-27,3916.42
SRB00001,Bezdan,2014-05-28,3740.11
SRB00001,Bezdan,2014-05-29,3629.78
SRB00001,Bezdan,2014-05-30,3697.28
SRB00001,Bezdan,2014-05-31,4245.2
SRB00001,Bezdan,2014-06-01,5104.05
SRB00001,Bezdan,2014-06-02,5394.11
SRB00001,Bezdan,2014-06-03,5175.07
SRB00001,Bezdan,2014-06-04,4840.72
SRB00001,Bezdan,2014-06-05,4517.56
SRB00001,Bezdan,2014-06-06,4196.59
SRB00001,Bezdan,2014-06-07,3898.42
SRB00001,Bezdan,2014-06-08,3638.15
SRB00001,Bezdan,2014-06-09,3434.58
SRB00001,Bezdan,2014-06-10,3264.88
SRB00001,Bezdan,2014-06-11,3125.08
SRB00001,Bezdan,2014-06-12,3012.01
SRB00001,Bezdan,2014-06-13,2957.01
SRB00001,Bezdan,2014-06-14,2963.83
SRB00001,Bezdan,2014-06-15,2991.27
SRB00001,Bezdan,2014-06-16,2998.16
SRB00001,Bezdan,2014-06-17,2970.67
SRB00001,Bezdan,2014-06-18,2916.43
SRB00001,Bezdan,2014-06-19,2823.88
SRB00001,Bezdan,2014-06-20,2709.19
SRB00001,Bezdan,2014-06-21,2587.21
SRB00001,Bezdan,2014-06-22,2482.13
SRB00001,Bezdan,2014-06-23,2408.91
SRB00001,Bezdan,2014-06-24,2381.32
SRB00001,Bezdan,2014-06-25,2442.43
SRB00001,Bezdan,2014-06-26,2587.21
SRB00001,Bezdan,2014-06-27,2734.27
SRB00001,Bezdan,2014-06-28,2804.43
SRB00001,Bezdan,2014-06-29,2830.39
