Date,station_id,name,Satellite,Blue,Green,Red,NIR,SWIR1,SWIR2,RedEdge1,RedEdge2,RedEdge3,station_name
2019-03-23,5288500,Brooklyn_Park,Sentinel-2,0.2308,0.2464,0.2508,0.293,0.1185,0.0972,0.2433,0.2461,0.2458,brooklynpark
2019-03-23,5378500,Winona,Sentinel-2,0.0707,0.0721,0.1169,0.1505,0.1379,0.1255,0.1338,0.1371,0.1304,winona
2019-03-23,5378500,Winona,Sentinel-2,0.0641,0.068,0.1154,0.1506,0.1382,0.1254,0.1324,0.1369,0.1301,winona
2019-03-25,5331580,Hastings,Landsat-8,0.0673825,0.0910874999999999,0.107285,0.1730375,0.1472149999999999,0.1124275,,,,hastings
2019-03-25,5331000,St_Paul,Landsat-8,0.067355,0.0885024999999999,0.1046725,0.1531,0.155135,0.1281574999999999,,,,stpaul
2019-03-25,5288500,Brooklyn_Park,Landsat-8,0.113115,0.1207599999999999,0.1383325,0.195285,0.1410549999999999,0.1106949999999999,,,,brooklynpark
2019-03-25,5344500,Prescott,Landsat-8,0.0756875,0.1124275,0.137755,0.1762,0.20898,0.1863475,,,,prescott
2019-03-26,5288500,Brooklyn_Park,Sentinel-2,0.09,0.0946,0.1266,0.1872,0.1466,0.1091,0.1254,0.1684,0.1689,brooklynpark
2019-03-26,5331000,St_Paul,Sentinel-2,0.0701,0.069,0.0899,0.1198,0.1507,0.1327,0.1422,0.1459,0.1395,stpaul
2019-03-26,5288500,Brooklyn_Park,Sentinel-2,0.0923,0.0961,0.1267,0.1862,0.1462,0.1088,0.1254,0.1677,0.1681,brooklynpark
2019-03-28,5331000,St_Paul,Sentinel-2,0.1002,0.1142,0.1274,0.1582,0.1931,0.1624,0.1626,0.1726,0.1814,stpaul
2019-03-31,5331580,Hastings,Sentinel-2,0.0571,0.0674,0.081,0.134,0.1857,0.1408,0.1102,0.1309,0.1275,hastings
2019-03-31,5344500,Prescott,Sentinel-2,0.097,0.1136,0.1426,0.185,0.2273,0.1949,0.1485,0.1543,0.1598,prescott
2019-04-02,5378500,Winona,Sentinel-2,0.0761,0.0783,0.0943,0.1418,0.1969,0.1702,0.1069,0.1233,0.1295,winona
