date,water_temp_f,water_temp_c
2021-12-06,36.0,2.2222222222222223
2021-12-07,33.0,0.5555555555555556
2021-12-08,34.0,1.1111111111111112
2021-12-09,35.0,1.6666666666666667
2021-12-10,35.0,1.6666666666666667
2021-12-11,35.0,1.6666666666666667
2021-12-12,35.0,1.6666666666666667
2021-12-13,34.0,1.1111111111111112
2021-12-14,34.0,1.1111111111111112
2021-12-15,34.0,1.1111111111111112
2021-12-16,35.0,1.6666666666666667
2021-12-17,33.0,0.5555555555555556
2021-12-18,34.0,1.1111111111111112
2021-12-19,33.0,0.5555555555555556
2021-12-20,34.0,1.1111111111111112
2021-12-21,34.0,1.1111111111111112
2021-12-22,33.0,0.5555555555555556
2021-12-23,33.0,0.5555555555555556
2021-12-24,33.0,0.5555555555555556
2021-12-25,33.0,0.5555555555555556
2021-12-26,33.0,0.5555555555555556
2021-12-27,33.0,0.5555555555555556
2021-12-28,33.0,0.5555555555555556
2021-12-29,33.0,0.5555555555555556
2021-12-30,33.0,0.5555555555555556
2021-12-31,33.0,0.5555555555555556
2022-01-01,33.0,0.5555555555555556
2022-01-02,33.0,0.5555555555555556
2022-01-03,33.0,0.5555555555555556
2022-01-05,33.0,0.5555555555555556
2022-01-06,33.0,0.5555555555555556
2022-01-07,33.0,0.5555555555555556
2022-01-08,33.0,0.5555555555555556
2022-01-09,33.0,0.5555555555555556
2022-01-10,33.0,0.5555555555555556
2022-01-11,33.0,0.5555555555555556
2022-01-12,33.0,0.5555555555555556
2022-01-13,33.0,0.5555555555555556
2022-01-14,33.0,0.5555555555555556
2022-01-15,33.0,0.5555555555555556
2022-01-16,33.0,0.5555555555555556
2022-01-17,33.0,0.5555555555555556
2022-01-18,33.0,0.5555555555555556
2022-01-19,33.0,0.5555555555555556
2022-01-20,33.0,0.5555555555555556
2022-01-21,33.0,0.5555555555555556
2022-01-22,33.0,0.5555555555555556
2022-01-23,33.0,0.5555555555555556
2022-01-24,33.0,0.5555555555555556
2022-01-25,33.0,0.5555555555555556
2022-01-26,33.0,0.5555555555555556
2022-01-27,33.0,0.5555555555555556
2022-01-28,33.0,0.5555555555555556
2022-01-29,33.0,0.5555555555555556
2022-01-30,33.0,0.5555555555555556
2022-01-31,33.0,0.5555555555555556
2022-02-01,33.0,0.5555555555555556
2022-02-02,33.0,0.5555555555555556
2022-02-03,33.0,0.5555555555555556
2022-02-04,33.0,0.5555555555555556
2022-02-05,33.0,0.5555555555555556
2022-02-06,33.0,0.5555555555555556
2022-02-07,33.0,0.5555555555555556
2022-02-08,33.0,0.5555555555555556
2022-02-09,33.0,0.5555555555555556
2022-02-10,33.0,0.5555555555555556
2022-02-11,33.0,0.5555555555555556
2022-02-12,33.0,0.5555555555555556
2022-02-13,33.0,0.5555555555555556
2022-02-14,33.0,0.5555555555555556
2022-02-15,33.0,0.5555555555555556
2022-02-16,33.0,0.5555555555555556
2022-02-17,32.0,0.0
2022-02-18,33.0,0.5555555555555556
2022-02-19,33.0,0.5555555555555556
2022-02-20,33.0,0.5555555555555556
2022-02-21,33.0,0.5555555555555556
2022-02-22,15.0,-9.444444444444445
2022-02-23,33.0,0.5555555555555556
2022-02-24,33.0,0.5555555555555556
2022-02-25,33.0,0.5555555555555556
2022-02-26,33.0,0.5555555555555556
2022-02-27,33.0,0.5555555555555556
2022-02-28,33.0,0.5555555555555556
2022-03-01,33.0,0.5555555555555556
2022-03-03,33.0,0.5555555555555556
2022-03-04,33.0,0.5555555555555556
2022-03-05,33.0,0.5555555555555556
2022-03-07,33.0,0.5555555555555556
2022-03-08,34.0,1.1111111111111112
2022-03-09,16.0,-8.88888888888889
2022-03-10,34.0,1.1111111111111112
2022-03-11,34.0,1.1111111111111112
2022-03-12,33.0,0.5555555555555556
2022-03-13,34.0,1.1111111111111112
2022-03-14,34.0,1.1111111111111112
2022-03-16,35.0,1.6666666666666667
2022-03-17,35.0,1.6666666666666667
2022-03-18,37.0,2.7777777777777777
2022-03-19,36.0,2.2222222222222223
2022-03-20,38.0,3.3333333333333335
2022-03-21,33.0,0.5555555555555556
2022-03-22,40.0,4.444444444444445
2022-03-23,38.0,3.3333333333333335
2022-03-24,37.0,2.7777777777777777
2022-03-25,38.0,3.3333333333333335
2022-03-26,34.0,1.1111111111111112
2022-03-27,34.0,1.1111111111111112
2022-03-28,35.0,1.6666666666666667
2022-03-29,37.0,2.7777777777777777
2022-03-30,36.0,2.2222222222222223
2022-03-31,36.0,2.2222222222222223
2022-04-01,36.0,2.2222222222222223
2022-04-02,39.0,3.888888888888889
2022-04-04,39.0,3.888888888888889
2022-04-05,40.0,4.444444444444445
2022-04-06,40.0,4.444444444444445
2022-04-07,40.0,4.444444444444445
2022-04-08,39.0,3.888888888888889
2022-04-09,41.0,5.0
2022-04-10,35.0,1.6666666666666667
2022-04-11,44.0,6.666666666666667
2022-04-12,45.0,7.222222222222222
2022-04-13,45.0,7.222222222222222
2022-04-14,43.0,6.111111111111111
2022-04-15,40.0,4.444444444444445
2022-04-16,41.0,5.0
2022-04-17,42.0,5.555555555555555
2022-04-18,42.0,5.555555555555555
2022-04-19,39.0,3.888888888888889
2022-04-20,41.0,5.0
2022-04-21,42.0,5.555555555555555
2022-04-22,44.0,6.666666666666667
2022-04-23,45.0,7.222222222222222
2022-04-24,48.0,8.88888888888889
2022-04-25,45.0,7.222222222222222
2022-04-26,45.0,7.222222222222222
2022-04-27,45.0,7.222222222222222
2022-04-28,46.0,7.777777777777778
